Date,SOROS FUND MANAGEMENT LLC,PAULSON & CO.INC. ,TIGER GLOBAL MANAGEMENT LLC,BERKSHIRE HATHAWAY INC
2015-07-15,,,,
2015-07-16,,,,
2015-07-17,,,,
2015-07-20,,,,
2015-07-21,,,,
2015-07-22,,,,
2015-07-23,,,,
2015-07-24,,,,
2015-07-27,,,,
2015-07-28,,,,
2015-07-29,,,,
2015-07-30,,,,
2015-07-31,,,,
2015-08-03,,,,
2015-08-04,,,,
2015-08-05,,,,
2015-08-06,,,,
2015-08-07,,,,
2015-08-10,,,,
2015-08-11,,,,
2015-08-12,,,,
2015-08-13,,,,
2015-08-14,,,,
2015-08-17,,,,
2015-08-18,,,,
2015-08-19,,,,
2015-08-20,,,,
2015-08-21,,,,
2015-08-24,,,,
2015-08-25,,,,
2015-08-26,,,,
2015-08-27,,,,
2015-08-28,,,,
2015-08-31,,,,
2015-09-01,,,,
2015-09-02,,,,
2015-09-03,,,,
2015-09-04,,,,
2015-09-07,,,,
2015-09-08,,,,
2015-09-09,,,,
2015-09-10,,,,
2015-09-11,,,,
2015-09-14,,,,
2015-09-15,,,,
2015-09-16,,,,
2015-09-17,,,,
2015-09-18,,,,
2015-09-21,,,,
2015-09-22,,,,
2015-09-23,,,,
2015-09-24,,,,
2015-09-25,,,,
2015-09-28,,,,
2015-09-29,,,,
2015-09-30,,,,
2015-10-01,,,,
2015-10-02,,,,
2015-10-05,,,,
2015-10-06,,,,
2015-10-07,,,,
2015-10-08,,,,
2015-10-09,,,,
2015-10-12,,,,
2015-10-13,,,,
2015-10-14,,,,
2015-10-15,,,,
2015-10-16,,,,
2015-10-19,,,,
2015-10-20,,,,
2015-10-21,,,,
2015-10-22,,,,
2015-10-23,,,,
2015-10-26,,,,
2015-10-27,,,,
2015-10-28,,,,
2015-10-29,,,,
2015-10-30,,,,
2015-11-02,,,,
2015-11-03,,,,
2015-11-04,,,,
2015-11-05,,,,
2015-11-06,,,,
2015-11-09,,,,
2015-11-10,,,,
2015-11-11,-0.00489975262031006,-0.03616775006125772,0.008805676747276166,-0.03154926572491554
2015-11-12,-0.0036342451012291157,-0.031187230730934212,0.00930120906204723,-0.024980595947181355
2015-11-13,-0.0058641576484849125,-0.034428511191883615,0.011835185835280867,-0.029193615108673104
2015-11-16,-0.0032719769617769456,-0.03639776953410023,0.021529981128567296,0.0046565234329720975
2015-11-17,0.007857830650610187,-0.031097428566497554,0.028602425138265716,0.032655361668442656
2015-11-18,0.02140667461096546,-0.02501853542293908,0.037912942873064896,0.05216463061175816
2015-11-19,0.02822733403093647,-0.024538457143041148,0.05673802878542943,0.06510950262251816
2015-11-20,0.029999245626848747,-0.022941251517111683,0.056698554162622476,0.0889375951941195
2015-11-23,0.020645217701923957,-0.03699376289351031,0.04673221079613243,0.09025348532157454
2015-11-24,0.02652433783329,-0.029206260387043326,0.05380533369784867,0.0920311224221513
2015-11-25,0.020814055278228993,-0.028106762871829227,0.0474800335871589,0.08398419032677065
2015-11-26,0.018672151731844222,-0.03103486929432364,0.048167215370952025,0.08359983379453675
2015-11-27,0.008680790304219975,-0.038544260001850184,0.03979006870292622,0.07996482505451954
2015-11-30,0.011141825747643662,-0.04143377782092694,0.03239256579325255,0.07398895023929578
2015-12-01,0.00575598918389475,-0.0323364156732634,0.03405725306691509,0.07753283352838194
2015-12-02,-0.001647855459471991,-0.03892549686106139,0.018003267370654493,0.08814195011874718
2015-12-03,-0.011100676190037961,-0.041524253173810366,0.0024547214111613133,0.07343889198262657
2015-12-04,0.0030589487307207657,-0.026251555112758673,0.025720755792421716,0.11092304383761378
2015-12-07,-0.006077455681670842,-0.028421400424415766,0.017147350003016586,0.10042148546000176
2015-12-08,-0.009353436823512975,-0.03404943390974002,0.014145805591152298,0.09481059647204795
2015-12-09,-0.021257855384807067,-0.04010930054029194,-0.0039029003115509456,0.07483374100846654
2015-12-10,-0.015339883710276725,-0.0341110086138926,0.0006593207901887041,0.07246595939218917
2015-12-11,-0.03181229169948707,-0.04261248012229024,-0.01531983142892935,0.0420508774617451
2015-12-14,-0.03847887632265523,-0.04706324497946446,-0.006232010000040374,0.04484762924550503
2015-12-15,-0.03268283469154121,-0.04323923021180509,0.0025936645336459493,0.04903874208635953
2015-12-16,-0.020753941432981593,-0.03768844095332202,0.017980073390164157,0.07164040123231588
2015-12-17,-0.034995052530084614,-0.05594439878808222,0.0009762763786520454,0.053912050779721526
2015-12-18,-0.04305230490317191,-0.06485716924769913,-0.014634025829942339,0.044204293304455106
2015-12-21,-0.037646333728924564,-0.06159285920523683,-0.0014272364915287688,0.04077799191633483
2015-12-22,-0.02869015270816566,-0.05494409944580836,0.019672905283011792,0.04541035962981557
2015-12-23,-0.023143461272105648,-0.04889916664644156,0.03612695682310485,0.04857113822879314
2015-12-24,-0.02737029437021976,-0.05113148414459112,0.02697192803809445,0.041164293943416724
2015-12-28,-0.030142217386073478,-0.054246183566269646,0.02094411779076988,0.03030325527578595
2015-12-29,-0.012423317387599053,-0.045678851771909446,0.045997337488437595,0.056090042901931786
2015-12-30,-0.021589708994702805,-0.050413212936110674,0.028969727830299496,0.040365056347361566
2015-12-31,-0.0284395070191652,-0.05827994099520395,0.013117199549966041,0.026058599470204974
2016-01-04,-0.042676815353024145,-0.06349002181976582,-0.001491082906541652,-0.02089900634733574
2016-01-05,-0.04414121994221254,-0.064220602907203,0.004570320199126399,-0.030919767032727224
2016-01-06,-0.05891718518996558,-0.07164240711333558,-0.0003290831894566806,-0.013421485591981835
2016-01-07,-0.07679244394295204,-0.06748806684387643,-0.017841319930060995,-0.04470217725618705
2016-01-08,-0.08448609300046173,-0.07768117100731631,-0.030643502852438664,-0.05792236972949458
2016-01-11,-0.0855249273613281,-0.08060452111423311,-0.01818389772354867,-0.055999394917583406
2016-01-12,-0.07347506516744007,-0.0756223379894918,0.0028425136709326893,-0.029646582513238123
2016-01-13,-0.10180444972675273,-0.09293530390134608,-0.03403257729108,-0.08990851044243561
2016-01-14,-0.09201174679836432,-0.08069329413831139,-0.03254153674865046,-0.07849949009995058
2016-01-15,-0.0985861586305593,-0.08659967108500732,-0.046903616635411316,-0.09207673779024925
2016-01-18,-0.09902950882593109,-0.08319943486540138,-0.04141693379658573,-0.08617647618602994
2016-01-19,-0.11605457864794344,-0.09326902933067616,-0.034770011752758734,-0.08580109468417604
2016-01-20,-0.13052504191457992,-0.09911345135030891,-0.0354184489509306,-0.10384763782528281
2016-01-21,-0.11968207069026815,-0.09628234941363834,-0.009350055540865654,-0.11114619895042185
2016-01-22,-0.10232832789414248,-0.08540333704697123,0.013857116815640724,-0.08863661154463684
2016-01-25,-0.11864514069456789,-0.09176873578283617,0.005594623614450178,-0.10806999205368137
2016-01-26,-0.10279125647676146,-0.084190042819552,0.027341045799779137,-0.11021661317133954
2016-01-27,-0.11596706843332649,-0.0939494859190032,0.022408089487781054,-0.15937070929598482
2016-01-28,-0.11793618498187175,-0.10788941323974566,0.021269893938489767,-0.15470625956806724
2016-01-29,-0.09602263475423045,-0.09535944304180533,0.04487419961827277,-0.1385151058753594
2016-02-01,-0.0930423920937754,-0.09330215541653042,0.035191000925892446,-0.13793369667074037
2016-02-02,-0.11319171045185294,-0.10583101008305751,0.01870273105817566,-0.17291361193923946
2016-02-03,-0.109863007564456,-0.10434131543033986,0.008442289941909098,-0.1855718570271577
2016-02-04,-0.0931197555465535,-0.1049633737700284,0.009081778236793903,-0.16860340479002642
2016-02-05,-0.11688386118551308,-0.11372789259554383,-0.014270314994815125,-0.2386141851430293
2016-02-08,-0.14173605481483764,-0.13242161412426168,-0.03508084873450601,-0.24940156772888417
2016-02-09,-0.1459181021146566,-0.13136463479613292,-0.027461585955582235,-0.24414608522493914
2016-02-10,-0.1456826828676011,-0.127886713250987,-0.02097837712872508,-0.2312216258870919
2016-02-11,-0.1488865918873986,-0.12836678819598812,-0.01971742834030399,-0.23193910925359013
2016-02-12,-0.152134763161755,-0.12828684894239617,-0.020730798689696184,-0.23295609962187674
2016-02-15,-0.14632920348189404,-0.12423275388749866,-0.011182399452882574,-0.2230816209775271
2016-02-16,-0.12679475675744978,-0.11199348138756926,-0.001954742006853083,-0.1850968369750426
2016-02-17,-0.09752392493338624,-0.0919993070658971,0.029874575997196225,-0.14831184519525792
2016-02-18,-0.10115382734002287,-0.1037085678226275,0.02092626459426716,-0.16673448486006864
2016-02-19,-0.10934723461843199,-0.11237304416312055,0.011699392216150014,-0.17676076823077097
2016-02-22,-0.09192560916219739,-0.10267005681101482,0.01044678517572228,-0.15694170320310635
2016-02-23,-0.09978810897799073,-0.10101220711954406,0.007774603704936985,-0.18418675556766068
2016-02-24,-0.09016214015358892,-0.09862822369087731,0.015118029195814394,-0.1641575515686408
2016-02-25,-0.08256029822337474,-0.08354145998523443,0.034875659197330044,-0.17724512337138892
2016-02-26,-0.07736562355294985,-0.07903486953331851,0.06045839896729244,-0.1694311003687296
2016-02-29,-0.08860473656835599,-0.09981123196370889,0.04454092478903082,-0.17469780747101055
2016-03-01,-0.06989994549030665,-0.08916653738061364,0.05871774049262779,-0.13510159756161483
2016-03-02,-0.07114536854227138,-0.08937574599004061,0.05477903482658142,-0.1369502806950616
2016-03-03,-0.0707864717142419,-0.09355592976366245,0.05728340572408208,-0.14502576188874822
2016-03-04,-0.060909496012859776,-0.09281829488662863,0.06607538869038576,-0.1170284761370281
2016-03-07,-0.05694795979236389,-0.0857897815980303,0.06118467921513304,-0.12223287703569502
2016-03-08,-0.06385840922430719,-0.09181565796509239,0.05089587426361075,-0.12148083750325539
2016-03-09,-0.03893575683240469,-0.07525129984016299,0.07493663149838048,-0.09349152291300727
2016-03-10,-0.04890358477910017,-0.07711218626614857,0.0664087929935252,-0.1098807720386254
2016-03-11,-0.028501124589421,-0.06392751053270351,0.07145188913697187,-0.08075620520619836
2016-03-14,-0.03492102545760145,-0.06716611997438382,0.0783543801404265,-0.07206366312252827
2016-03-15,-0.0487129315276883,-0.09004155835617522,0.07910238317691753,-0.08329440637392466
2016-03-16,-0.03666600105466333,-0.09518056857096524,0.09077077744527229,-0.0628086966145957
2016-03-17,-0.03546913193414114,-0.10788318626554938,0.08935090186303374,-0.05899186115856675
2016-03-18,-0.016131082143424624,-0.09957494932274147,0.0999230773765939,-0.038876411661763866
2016-03-21,-0.02223195837133729,-0.09599246476020296,0.09237149836571212,-0.05232403945676606
2016-03-22,-0.03572664516394408,-0.0936770129175225,0.07684610661887381,-0.06250830356521214
2016-03-23,-0.053663083803331624,-0.10065523822918876,0.06932617366677774,-0.0832012143198973
2016-03-24,-0.05882177496916363,-0.10490361132951609,0.06195620123938528,-0.08951594173476368
2016-03-28,-0.05362196923533136,-0.10531495758441578,0.0759179225745138,-0.0797173258547102
2016-03-29,-0.04731965291630613,-0.0920204146337168,0.08489995245678716,-0.0756558365219942
2016-03-30,-0.042836711204779165,-0.09002461167676035,0.08637960736699146,-0.07574841924100767
2016-03-31,-0.03554504940577452,-0.09018630561029684,0.08259545881285724,-0.07278650938162162
2016-04-01,-0.03313807886537434,-0.08389295025698662,0.09416814742814172,-0.05779742964384499
2016-04-04,-0.0346596787527369,-0.07958775027711651,0.0893830714554048,-0.06490019007814068
2016-04-05,-0.047095122175269566,-0.10059998999943232,0.08101247872901485,-0.05832433347352445
2016-04-06,-0.027114410592184335,-0.07685928345759263,0.09027893143376253,-0.04195893154135272
2016-04-07,-0.027570547922680766,-0.06851641490779037,0.08682411097383402,-0.030267919187984937
2016-04-08,-0.03226552240803893,-0.07599054714143771,0.08938874966205523,-0.03621297324846068
2016-04-11,-0.04575867201548356,-0.089055837488629,0.07604056751111188,-0.036105250478555784
2016-04-12,-0.039978101759391094,-0.09474746887891106,0.0796647732118142,-0.01023451984760787
2016-04-13,-0.024800572205738614,-0.0881121671866909,0.0771767773143971,0.01749003643460784
2016-04-14,-0.019591070636553964,-0.088332582623189,0.07372040818528003,0.018091624443308866
2016-04-15,-0.023303358288213283,-0.07915952679311034,0.08019097140117881,0.028606379947360986
2016-04-18,-0.02045533332098437,-0.06962635546788376,0.08299908454560212,0.015589544588535734
2016-04-19,-0.016981377638867978,-0.05668882251734164,0.09074758961394735,-0.0180879645994903
2016-04-20,-0.00940013261128203,-0.05778055909979596,0.0893821292342063,-0.004023168393839257
2016-04-21,-0.024171372378207323,-0.06255676047520109,0.06795927952581049,-0.01779331555328639
2016-04-22,-0.019010412780594788,-0.0616645997463523,0.07945029606122211,-0.019296794097747923
2016-04-25,-0.029647287582906245,-0.07871199219885372,0.08452875252147896,-0.033485352083911284
2016-04-26,-0.027032845445524978,-0.08249484444529531,0.0858898801890865,-0.05004226465969446
2016-04-27,-0.02573992241791989,-0.08142490241491329,0.0861122141083569,-0.059377923389745284
2016-04-28,-0.03530455863017712,-0.09611628544912632,0.07472392904884828,-0.05387341297220354
2016-04-29,-0.03800776234009284,-0.10279873378921067,0.07060456612804,-0.042165315402696905
2016-05-02,-0.02586553563596361,-0.09528492257101229,0.08741712556937187,-0.03277821889183357
2016-05-03,-0.015504713887802276,-0.07933818933545633,0.09637390447770577,-0.005379004610924165
2016-05-04,-0.005724758214489253,-0.07855380408518553,0.1329499857017954,0.004792509808523249
2016-05-05,0.025196126083029905,-0.06861203919968095,0.1880906641187483,0.04399403290545172
2016-05-06,0.024450236413207763,-0.08745993212161862,0.2031436289247237,0.01956450361645872
2016-05-09,0.001963565158521252,-0.08769435031478634,0.1765541473002612,-0.028050259302069457
2016-05-10,-0.012183834378530323,-0.08939913786340925,0.1777641874941187,-0.05305657210799848
2016-05-11,-0.024269494803768832,-0.09984771168984696,0.16940486376479802,-0.06572043206648899
2016-05-12,-0.02669279033566163,-0.1060417221310116,0.18240634638398157,-0.06546510570123472
2016-05-13,-0.0077129245859251,-0.09360243625331399,0.2054036301353831,-0.027888074798927256
2016-05-16,-0.016091532105134258,-0.09108763614102877,0.20243312164195626,-0.025620127073648094
2016-05-17,-0.023773387871221744,-0.08295793204358382,0.16468870529476243,-0.016449062046236154
2016-05-18,-0.012727107282270557,-0.07734431360024485,0.16948129874237183,0.027903303139809526
2016-05-19,-0.02068560387495466,-0.08602378868588634,0.1840243456105367,0.019403750156816873
2016-05-20,-0.0288167934731397,-0.08323410430486433,0.16447077999120818,0.022869805191701717
2016-05-23,-0.019086487125904328,-0.07781061711400361,0.17546427599419034,0.01500177735920609
2016-05-24,-0.009094669181909265,-0.06511685669083322,0.19070064242807117,0.045188265812520154
2016-05-25,-0.007563217237324227,-0.06568138929253287,0.19447932930288092,0.04226953653977443
2016-05-26,-0.0016276479310004528,-0.061410230971740476,0.19358411166486278,0.05536719620167356
2016-05-27,-0.002579032942845006,-0.06383139186658349,0.1893371388576296,0.04517687875701419
2016-05-31,-0.009796577429984408,-0.06395837654173497,0.17657620004164165,0.009880413567052534
2016-06-01,-0.009966142725857495,-0.05499418073219975,0.18366338498948942,-0.003993530770842927
2016-06-02,0.012860237942594499,-0.036916863302920766,0.20415000263952832,0.015150926051818378
2016-06-03,0.018229642203223317,-0.03105004837951364,0.1999464737985529,0.0060788240228085
2016-06-06,0.03664987484868254,-0.018585127255306366,0.2101155133215773,0.030672985933496585
2016-06-07,0.04716143390785177,-0.01268434893074144,0.20718901980653048,0.030632316803375234
2016-06-08,0.05380926220865534,-0.01264997936457013,0.22024267879231751,-0.002461070159836057
2016-06-09,0.060285334321434236,-0.007063845450790198,0.22656449763565945,-0.005256232868358482
2016-06-10,0.08063049739363859,0.007616230544988722,0.2475451281514912,0.00396097299353064
2016-06-13,0.07747511728168366,0.016659680278664935,0.23845389335788392,0.005970196660982904
2016-06-14,0.05494660050586242,0.0022801806258747614,0.2258096984276049,-0.03096449559195831
2016-06-15,0.05417457682330451,-0.013058744181755788,0.22348879581285908,-0.04620110443833299
2016-06-16,0.03652725328705342,-0.030369941227863073,0.21853849828410832,-0.07556871810135309
2016-06-17,0.016622366491890084,-0.03335660125865947,0.19851586570845647,-0.09548230884254323
2016-06-20,0.021419518062472553,-0.03003737845523813,0.21195319658029343,-0.0668833946973972
2016-06-21,0.010621758962460983,-0.037114529495424375,0.2048444731876724,-0.08036005751382365
2016-06-22,0.0022129910422671335,-0.044532109984002366,0.19708110576554583,-0.09900518347419802
2016-06-23,0.010949399605651002,-0.03034748326818182,0.21151941986763168,-0.09452573444008157
2016-06-24,-0.017613347550657354,-0.05556481283730896,0.17587852126881665,-0.13069064864833352
2016-06-27,-0.028888237632113345,-0.06458525058237807,0.1718229733326483,-0.12957577273294624
2016-06-28,-0.015486180585240872,-0.046397108192459235,0.19022595949717436,-0.09359577588350004
2016-06-29,-0.01543908097858737,-0.03996623242042041,0.1888719150398238,-0.07270778203082934
2016-06-30,-0.011399724921157482,-0.041009357180292305,0.2038414900622586,-0.0684789509847204
2016-07-01,-0.005756347070824839,-0.03451076588955593,0.20250913468602927,-0.05338556248935428
2016-07-04,-0.0034281367226152142,-0.025632423035285457,0.20109438327925,-0.04456465990606745
2016-07-05,0.0021792076003285255,-0.02112403624757464,0.2087694026177248,-0.034022909869787565
2016-07-06,-0.0072530772201463405,-0.0059880939379747256,0.21094331896317742,-0.057369835643791334
2016-07-07,-0.0168693008448636,-0.02332125978563215,0.20099328885521683,-0.06863220962433664
2016-07-08,-0.007902049370371087,-0.017070401961438605,0.20538020030498472,-0.058752322664398504
2016-07-11,0.006731007893250541,-0.020097306657524402,0.21166459530794657,-0.056796772409883955
2016-07-12,-0.0009510250050646096,-0.019740964128590496,0.19153790243303948,-0.05352791568419907
2016-07-13,-0.0018965525864415023,-0.018001184784135146,0.20129239880419747,-0.05474144922420704
2016-07-14,-0.0003334564390188319,-0.01392280404441237,0.2088620862622913,-0.05269699755985496
2016-07-15,-0.011345032316787962,-0.025330415638699307,0.21008576683208202,-0.07042838962529946
2016-07-18,-0.015857344324494815,-0.025877910067443773,0.20646488022987353,-0.0743984199694509
2016-07-19,-0.017952701224984602,-0.02980496407941335,0.206972353947373,-0.11928873617383645
2016-07-20,-0.006062703570333672,-0.009867067521205138,0.19996225315328653,-0.09142188501721332
2016-07-21,-0.010936190013150715,-0.010788740627171053,0.19291123192620274,-0.12080724447710761
2016-07-22,0.00017902968974137234,0.000769115576817362,0.2103885389742166,-0.09918632338418704
2016-07-25,-0.000251758928209056,-0.005016470307700801,0.20858530030236655,-0.08810512411304777
2016-07-26,0.006417531234005013,0.0011196764542847938,0.19849915700764187,-0.06380126042216722
2016-07-27,0.005198178214624981,0.010959352038524385,0.1848102366242107,-0.06385879819861323
2016-07-28,0.0037441006275267244,0.007688659391148269,0.18840206017554395,-0.06455238493465004
2016-07-29,-0.002773149129068564,0.001892814834538294,0.18027217597117662,-0.11258001814055146
2016-08-01,-0.006175636216887881,0.0025182347229695274,0.17620203477800078,-0.1101216895458102
2016-08-02,-0.030013736987767103,-0.006105582456257473,0.15233050068126164,-0.13317343961046374
2016-08-03,-0.021134445920954592,0.01154879177784163,0.14521953978372948,-0.13315565650742894
2016-08-04,-0.023011682594664462,0.006722099336487378,0.1476181604542559,-0.15474894138610445
2016-08-05,-0.01358977771274239,0.010988471284368754,0.1739155570483566,-0.14444547508544708
2016-08-08,-0.018311670529967405,-0.00029361709637265327,0.16985449729524116,-0.13913099394003453
2016-08-09,-0.02736432923599985,0.005766864049611024,0.17605975066627,-0.1364609793422787
2016-08-10,-0.02736432923599985,0.005766864049611024,0.17605975066627,-0.1364609793422787
2016-08-11,-0.026975727226954405,0.005763157816416679,0.17488001767397532,-0.14067949581186007
2016-08-12,-0.028658285386552462,0.011206902724293592,0.18520261483106992,-0.13706655777626214
2016-08-15,-0.026056880793484893,0.005457194230238386,0.17319892994750263,-0.13524269209782086
2016-08-16,-0.02097267301780381,0.008812363491984335,0.18759700648224475,-0.15395230105157837
2016-08-17,-0.01258126983543617,0.016605497993878785,0.20988299762021956,-0.13452312299895247
2016-08-18,-0.01904890970121076,0.011886429721519102,0.2013159080666852,-0.15914916069376123
2016-08-19,-0.007078620321151141,0.013272134504247027,0.21002608744703344,-0.14619736460873295
2016-08-22,-0.0025426344113378407,0.016219706644445612,0.21158789395491828,-0.1468845830918482
2016-08-23,0.003373513667903394,0.016855932727944948,0.21761756878189842,-0.12983091545838493
2016-08-24,-0.0025335349915706074,-0.006356801261138908,0.2163393818967151,-0.13666721958185807
2016-08-25,0.012769100882126794,-0.005663784093917431,0.23352301259716945,-0.10362140403366721
2016-08-26,0.018796104469431474,-0.003842614722411316,0.21457074548454602,-0.10587135843056955
2016-08-29,0.009374761983430902,-0.014606408438506465,0.20611724381525898,-0.11496495349229124
2016-08-30,-0.0007724958936611293,-0.021216106700388867,0.18865877907051565,-0.13586822376865065
2016-08-31,0.007066597222500026,-0.0199308992674283,0.21531818704690708,-0.132286559328687
2016-09-01,0.02730102853319727,-0.01234192800258926,0.23128901742082986,-0.10226313687551264
2016-09-02,0.02493483052465406,-0.023649017488738485,0.21876782462345024,-0.0985527293437592
2016-09-05,0.019426260605294732,-0.027531433563663162,0.2017394305336343,-0.10011131473009255
2016-09-06,0.015229451619726997,-0.028371678425408883,0.18486293802447162,-0.09732218148352928
2016-09-07,0.019464788292283042,-0.027845059241917266,0.19143255436854656,-0.09141884578043785
2016-09-08,0.018372561494421458,-0.019468876190956715,0.19105935618830494,-0.08689612513553896
2016-09-09,-0.005989625925041042,-0.038095805581199293,0.1441821965960356,-0.11706870744107806
2016-09-12,0.011982716738229371,-0.020629603726951995,0.18133968060277394,-0.09226921794524362
2016-09-13,0.004793796904281389,-0.022888797696013374,0.18643897985281166,-0.09200478950854812
2016-09-14,0.016634935036891063,-0.013396105130715097,0.18652519482174312,-0.05120030613179388
2016-09-15,0.022297717239626702,-0.01115405673451686,0.19483466850698583,-0.0454657849689884
2016-09-16,0.029033426928487316,-0.004874875688386515,0.19586920656561002,-0.06223269057102204
2016-09-19,0.05191341067432986,-0.0017539873399284875,0.20069089639105597,-0.029657775867212577
2016-09-20,0.05839497217642686,0.0008795718742623509,0.2130206589577356,-0.01208107686902243
2016-09-21,0.07590991503165156,0.009541618551160867,0.21088890421280315,0.006580165767635595
2016-09-22,0.08265216682005949,0.019228493072709463,0.2115718060214774,-0.003456127652102176
2016-09-23,0.10452687791338588,0.035872773525816526,0.23882643415276117,0.05052922384447152
2016-09-26,0.08795655162256732,0.010622297227123045,0.23023010011826184,0.028569748172344547
2016-09-27,0.11160410835138868,0.016911772384153312,0.2580357611669224,0.060046414645140336
2016-09-28,0.113069219399894,0.013971244515684211,0.26182099506244105,0.06016938193416983
2016-09-29,0.11450899352396904,0.0011875398752650979,0.24170425932424955,0.041381711025276616
2016-09-30,0.12470907256433139,-0.00018701406249743702,0.24426208739029964,0.05428869905212792
2016-10-03,0.11387032624104887,-0.00019656580237870092,0.21943748100096983,0.0604590733586718
2016-10-04,0.09392571249937409,-0.012713690622497165,0.18995179749723412,0.057658575530062886
2016-10-05,0.11379766760675591,-0.004224014402807619,0.19363025242254717,0.08270307655581229
2016-10-06,0.09486840016314568,-0.01714765575506938,0.172814030985058,0.08192933548198796
2016-10-07,0.10215741416224688,-0.011295332902145794,0.1732643363561246,0.12026445014847716
2016-10-10,0.10489590890963973,0.011892862188449092,0.1824156624491753,0.11943951318143503
2016-10-11,0.06774181776051758,-0.009786810473288556,0.14234070893009643,0.08473156221607187
2016-10-12,0.06326279228402287,-0.023444323550629753,0.15124062550154582,0.08103044332898163
2016-10-13,0.07682029629667086,-0.010791315118826361,0.16480618889289944,0.10418240531019257
2016-10-14,0.07443854864739374,-0.02384808713198905,0.18766260790576672,0.11644483254922006
2016-10-17,0.06178904950402786,-0.02981893854023998,0.1955594441399996,0.10078484229161461
2016-10-18,0.08408496912429697,-0.014684250847913582,0.2151561107812363,0.17153876396430073
2016-10-19,0.11212275096332147,0.0045276582377706855,0.2321428963264729,0.1937573536366594
2016-10-20,0.11352524806825715,0.008839846144784062,0.22671959074467152,0.19310809170907878
2016-10-21,0.11137649293416363,0.0003646192642897707,0.21723840045156229,0.17803240254020108
2016-10-24,0.11413333345073062,-3.035302726883335e-05,0.22520538487293595,0.17933192239053825
2016-10-25,0.10928217907591375,0.004366683722740187,0.21922467581435456,0.17355890782367517
2016-10-26,0.10493630522754649,-0.001995228783185806,0.21503013875787513,0.16364606280931
2016-10-27,0.0750206913383974,-0.018027279290550584,0.20253898518408098,0.10634904425252195
2016-10-28,0.055804117700701705,-0.045948387296862674,0.18091343315408792,0.08230071344592754
2016-10-31,0.06095856539987554,-0.04126592787697891,0.1995686090082207,0.10611477156994847
2016-11-01,0.05265970216273297,-0.0341540244392402,0.19258364258379257,0.093951543075176
2016-11-02,0.031647102897958135,-0.05707404066106802,0.18632028480679896,0.05264020772694472
2016-11-03,0.03204777649686652,-0.08730655731356107,0.17820151194286715,0.06535465957275405
2016-11-04,0.03517727318081554,-0.07557140410054408,0.15629038421085273,0.05747904062606718
2016-11-07,0.04663531038270774,-0.07568290935093269,0.1550564521750435,0.08583727377663813
2016-11-08,0.043840633871233825,-0.08313856334403125,0.15004199806598462,0.08212791540914205
2016-11-09,0.05121148152731636,-0.06716665100095254,0.15759618623464344,0.08410522730145725
2016-11-10,0.034305618997964915,-0.07690167837767681,0.14496240182104636,0.05394130019175297
2016-11-11,0.029248750962514336,-0.07908981790550351,0.14530047550794456,0.053868560307836766
2016-11-14,0.02211763191987648,-0.0742451904121183,0.1330168114617023,0.03946973972875906
2016-11-15,0.027391505045974207,-0.07859361881197868,0.14539681074449629,0.04625272224926852
